ts,year,month,day,dp,rmm,wdir,ws,t,rh,p
2014-10-22,2014,10,22,-8.299444444444449,0.38000000000000017,51.0,4.616805555555554,-2.346180555555563,58.922222222222224,1016.3781944444418
2014-10-23,2014,10,23,-6.939097222222205,0.6600000000000004,124.0,4.690555555555557,-2.2015972222221976,65.5875,1027.2763888888871
2014-10-24,2014,10,24,-6.920277777777782,0.5200000000000002,214.0,5.978402777777776,0.1963888888888872,56.56319444444444,1026.3215277777772
2014-10-25,2014,10,25,-1.260208333333333,0.34000000000000014,236.0,5.652013888888881,3.3275694444444506,71.06041666666667,1017.8127083333345
2014-10-26,2014,10,26,4.178541666666661,1.400000000000001,214.0,6.123749999999997,6.474999999999978,85.57152777777777,1012.1859722222277
2014-10-27,2014,10,27,8.069097222222231,1.1300000000000008,225.0,6.71534722222222,9.997916666666546,87.88055555555556,1005.2255555555598
2014-10-28,2014,10,28,8.452569444444388,1.3800000000000008,219.0,5.946111111111121,10.472708333333257,87.50555555555556,1005.4192361111106
2014-10-29,2014,10,29,5.023958333333328,1.0400000000000007,248.0,6.924375000000009,9.014583333333345,76.44236111111111,1002.5388888888915
2014-10-30,2014,10,30,2.6024305555555567,0.2700000000000001,264.0,2.877013888888887,6.187638888888901,78.49930555555555,1010.5399305555491
2014-10-31,2014,10,31,0.5927083333333338,0.4100000000000002,326.0,3.04013888888889,4.386111111111112,77.09722222222223,1015.3755555555506
2014-11-01,2014,11,1,-3.051458333333338,0.3000000000000001,163.0,2.732222222222222,1.6996527777777768,70.01805555555555,1019.668541666664
2014-11-02,2014,11,2,4.034166666666655,9.249999999999961,231.0,5.8986111111111175,5.7365277777777575,88.87777777777778,1007.124652777779
2014-11-03,2014,11,3,7.732847222222257,6.319999999999989,214.0,6.0450000000000035,8.245486111111115,96.7388888888889,995.3088194444434
2014-11-04,2014,11,4,7.531319444444495,3.1199999999999934,174.0,5.3240972222222105,9.159722222222204,89.82847222222222,991.3978472222249
2014-11-05,2014,11,5,0.01659722222222371,0.7000000000000005,62.0,4.019444444444442,3.953541666666636,74.6,1000.258402777779
2014-11-06,2014,11,6,-0.9057638888888957,15.27999999999999,124.0,4.42,0.8269444444444412,87.53125,1008.3648611111159
2014-11-07,2014,11,7,1.0474305555555528,3.599999999999982,6.0,2.8004166666666648,2.1328472222222326,92.67708333333333,1001.884791666663
2014-11-08,2014,11,8,-0.6663194444444432,1.0900000000000007,293.0,2.740694444444443,1.306805555555557,86.42986111111111,1005.4300694444456
2014-11-09,2014,11,9,4.303888888888872,1.440000000000001,203.0,3.0006944444444423,5.743888888888918,90.4798611111111,1013.0588888888908
2014-11-10,2014,11,10,3.626180555555548,1.2400000000000009,169.0,3.717152777777775,5.374722222222228,88.60902777777778,1013.1176388888882
2014-11-11,2014,11,11,6.720208333333326,2.8999999999999915,219.0,4.198125000000006,7.7012499999999795,93.64236111111111,1007.5827083333375
2014-11-12,2014,11,12,3.9397222222222354,2.5199999999999987,360.0,1.8148611111111106,6.780694444444487,82.30347222222223,1016.003541666665
2014-11-13,2014,11,13,0.9808333333333367,3.5399999999999943,62.0,3.0709027777777793,3.1159722222222443,85.96875,1022.5429861111103
2014-11-14,2014,11,14,-0.742916666666662,3.4099999999999944,17.0,2.924722222222221,1.7786111111111147,82.9798611111111,1025.739305555553
2014-11-15,2014,11,15,-0.9076388888888856,4.159999999999993,73.0,3.3458333333333314,1.0438194444444466,86.2701388888889,1024.9084722222149
